Support Library class,Android X class
android.support.v8.renderscript.Allocation,android.renderscript.Allocation
android.support.v8.renderscript.Element,android.renderscript.Element
android.support.v8.renderscript.RenderScript,android.renderscript.RenderScript
android.support.v8.renderscript.ScriptIntrinsicBlur,android.renderscript.ScriptIntrinsicBlur
android.support.transition.AnimatorUtils,androidx.transition.AnimatorUtils
android.support.transition.ArcMotion,androidx.transition.ArcMotion
android.support.transition.AutoTransition,androidx.transition.AutoTransition
android.support.transition.ChangeBounds,androidx.transition.ChangeBounds
android.support.transition.ChangeClipBounds,androidx.transition.ChangeClipBounds
android.support.transition.ChangeImageTransform,androidx.transition.ChangeImageTransform
android.support.transition.ChangeScroll,androidx.transition.ChangeScroll
android.support.transition.ChangeTransform,androidx.transition.ChangeTransform
android.support.transition.CircularPropagation,androidx.transition.CircularPropagation
android.support.transition.Explode,androidx.transition.Explode
android.support.transition.Fade,androidx.transition.Fade
android.support.transition.FloatArrayEvaluator,androidx.transition.FloatArrayEvaluator
android.support.transition.FragmentTransitionSupport,androidx.transition.FragmentTransitionSupport
android.support.transition.GhostViewApi14,androidx.transition.GhostViewApi14
android.support.transition.GhostViewApi21,androidx.transition.GhostViewApi21
android.support.transition.GhostViewImpl,androidx.transition.GhostViewImpl
android.support.transition.GhostViewUtils,androidx.transition.GhostViewUtils
android.support.transition.ImageViewUtils,androidx.transition.ImageViewUtils
android.support.transition.MatrixUtils,androidx.transition.MatrixUtils
android.support.transition.ObjectAnimatorUtils,androidx.transition.ObjectAnimatorUtils
android.support.transition.PathMotion,androidx.transition.PathMotion
android.support.transition.PathProperty,androidx.transition.PathProperty
android.support.transition.PatternPathMotion,androidx.transition.PatternPathMotion
android.support.transition.PropertyValuesHolderUtils,androidx.transition.PropertyValuesHolderUtils
android.support.transition.R,androidx.transition.R
android.support.transition.RectEvaluator,androidx.transition.RectEvaluator
android.support.transition.Scene,androidx.transition.Scene
android.support.transition.SidePropagation,androidx.transition.SidePropagation
android.support.transition.Slide,androidx.transition.Slide
android.support.transition.Styleable,androidx.transition.Styleable
android.support.transition.Transition,androidx.transition.Transition
android.support.transition.TransitionInflater,androidx.transition.TransitionInflater
android.support.transition.TransitionListenerAdapter,androidx.transition.TransitionListenerAdapter
